year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features
2022,4kiMvD7yPec5viFrCQDiYK,Henrietta,The Fratellis,Costello Music,52,88.87,0.4038,0.0769,True
2022,5FlBGGwGuqYmqr0qeBWrxe,Five to One,The Doors,Waiting for the Sun,50,92.5,0.34,0.46,True
2022,05iMQqncVBIm4AE26EvaTL,Andar Conmigo,Julieta Venegas,Si,49,106.59,0.2449,0.0204,True
2022,3geFzA6VBSNZUTmV3bCry6,Mardy Bum,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",49,45.48,0.6531,0.0,True
2022,2M7enaZSs1DRRjZscA4LAj,Reminiscing,The Buttertones,Buttertones,47,91.79,0.2766,0.0426,True
2022,2ZNYFHhkBoS4KHr5eXnQth,Funeral,Mon Laferte,Norma,47,146.84,0.2553,0.0213,True
2022,28UP90XhjCovLtieduYr9P,Mi Buen Amor,Mon Laferte,La Trenza,46,94.95,0.3478,0.3913,True
2022,3Hx7RXqCS7Kzjy2ot2q1Gk,Fever,The Black Keys,Turn Blue,46,63.26,0.5652,0.0435,True
2022,4mq4UFHLd9OZXRBClDyTed,Game,ELIZA,A Real Romantic,42,135.82,0.2857,0.0,True
2022,6d5faX65tSGFKcXsOJQRFi,In the Morning I'll Be Better,Tennis,Yours Conditionally,42,64.75,0.5,0.0476,True
2022,28kOpVf1aCgL0LSFfuKV4w,Oom Sha La La,Haley Heynderickx,I Need to Start a Garden,41,73.68,0.3902,0.0488,True
2022,5KkoM9rbevlWf8EePOrwfS,Drinking Song,Haley Heynderickx,I Need to Start a Garden,41,87.23,0.3415,0.0244,True
2022,3HMYsT5mnqQ57tVjvqlETb,Flaco,Mon Laferte,La Trenza,39,119.54,0.1282,0.0513,True
2022,6g6FWPdAMf55CpmkoE7jF1,Invéntame,Mon Laferte,Invéntame,39,88.08,0.3333,0.1538,True
2022,3AgrcbfCREzW0kGFUNJnqW,Rocky's Late Night,Albert Hammond Jr,Francis Trouble,38,71.89,0.4737,0.2368,True
2022,4M1lEbqPzlEw1JYWB6aE7K,Estoy Aquí,Shakira,Pies Descalzos,38,102.78,0.3684,0.0,True
2022,79DO6dBi8936P6EShLB209,Lightning Bolt,Jake Bugg,Jake Bugg,38,52.82,0.3947,0.1053,True
2022,2CbtdkBeW9Znt4vXTOafAl,A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",36,95.03,0.3889,0.0278,True
2022,0Xn1VqBjoL4PAGxyatEO0Z,Gotas De Agua Dulce,Juanes,La Vida Es Un Ratico,35,70.03,0.3143,0.1143,True
2022,14g6foD6sxO1qgkDKuPgWv,Swingin Party - 2008 Remaster,The Replacements,Tim,35,48.71,0.6286,0.0,True
2022,6Yu1OL8I0D4vjOzYdsXYGK,12:51,The Strokes,Room On Fire,35,36.91,0.5429,0.0286,True
2022,582EVyAFKmKPa1bVPSDurJ,Two Fingers,Jake Bugg,Jake Bugg,34,39.39,0.6176,0.0882,True
2022,6ikh8e4YxgOlb11LWUaBp4,The Keys,Matt Duncan,Soft Times,34,67.55,0.3235,0.0,True
2022,7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,34,30.58,0.6765,0.1176,True
2022,1TYRcvY3JTYoLVhADPpDH5,Red Light Indicates Doors Are Secured,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",32,50.06,0.375,0.0625,True
2022,31u6rUeIEXGrYVoh10U7eu,Leave It In My Dreams,The Voidz,Virtue,32,53.79,0.5,0.1562,True
2022,3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,Is This It,32,38.84,0.5938,0.0312,True
2022,0Juciz8gOjrO89qw5KwQV5,Call Me Irresponsible - 2001 Remaster,Bobby Darin,From Hello Dolly To Goodbye Charlie,30,34.85,0.3667,0.0333,True
2022,29EkMZmUNz1WsuzaMtVo1i,I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",30,32.61,0.5667,0.0,True
2022,3jp7Ryj1sX3riA7NQaVlLd,Whistle For The Choir,The Fratellis,Costello Music,30,38.39,0.6,0.0667,True
